Model,File,Accuracy,Precision,F1_Score
FAST,5-Tune.csv,0.5314285714285715,0.5383673469387755,0.534050236947818
FAST,8-Tune.csv,0.58,0.5815510204081633,0.5802836304964725
FAST,11-Tune.csv,0.3628571428571429,0.3639591836734694,0.3607423510329615
FAST,6-Tune.csv,0.6428571428571429,0.6486122448979592,0.6449310814093405
FAST,12-Tune.csv,0.5171428571428571,0.5261632653061225,0.5198538089879562
FAST,9-Tune.csv,0.6114285714285714,0.6123265306122448,0.6112925136329391
FAST,2-Tune.csv,0.5742857142857143,0.5768163265306122,0.5746977941971797
FAST,13-Tune.csv,0.5514285714285714,0.5551020408163265,0.5525389109274322
FAST,4-Tune.csv,0.6257142857142857,0.6260408163265305,0.6257600806223679
FAST,14-Tune.csv,0.6142857142857143,0.6231020408163265,0.6161537737624695
FAST,1-Tune.csv,0.5685714285714286,0.5668979591836735,0.5671500616356343
FAST,10-Tune.csv,0.3314285714285714,0.33069387755102037,0.32946989233537627
FAST,3-Tune.csv,0.7114285714285714,0.7172244897959184,0.7115756600817013
FAST,7-Tune.csv,0.6342857142857142,0.6386530612244898,0.6349811015224361
FAST,0-Tune.csv,0.6742857142857143,0.6782040816326531,0.6741762701428676
Tsception_LOFO,sub-14_preds.csv,0.6428571428571429,0.6491428571428571,0.6435186338363164
Tsception_LOFO,sub-7_preds.csv,0.5971428571428572,0.6032244897959184,0.5978737636221775
Tsception_LOFO,sub-3_preds.csv,0.6028571428571429,0.6093469387755102,0.6042318148387542
Tsception_LOFO,sub-8_preds.csv,0.56,0.5635918367346938,0.5611257811754429
Tsception_LOFO,sub-10_preds.csv,0.33714285714285713,0.34224489795918367,0.335101675616588
Tsception_LOFO,sub-12_preds.csv,0.4685714285714286,0.46734693877551026,0.46740678056754803
Tsception_LOFO,sub-9_preds.csv,0.5514285714285714,0.5524489795918367,0.5513373247717461
Tsception_LOFO,sub-6_preds.csv,0.6057142857142858,0.6177551020408163,0.6063620476304649
Tsception_LOFO,sub-11_preds.csv,0.4228571428571429,0.4297551020408163,0.422578436677614
Tsception_LOFO,sub-1_preds.csv,0.49142857142857144,0.4908979591836734,0.4899341906507294
Tsception_LOFO,sub-2_preds.csv,0.6142857142857143,0.6133877551020407,0.6131951196592239
Tsception_LOFO,sub-5_preds.csv,0.45714285714285713,0.47220408163265304,0.4604598832626112
Tsception_LOFO,sub-13_preds.csv,0.45714285714285713,0.48334693877551016,0.46023936468676896
Tsception_LOFO,sub-4_preds.csv,0.6314285714285715,0.6335918367346939,0.6312199611487143
Tsception_LOFO,sub-0_preds.csv,0.6314285714285715,0.6353469387755101,0.631487074153671
