File,Accuracy,Precision,F1_Score
4-Tune.csv,0.6257142857142857,0.6260408163265305,0.6257600806223679
5-Tune.csv,0.5314285714285715,0.5383673469387755,0.534050236947818
3-Tune.csv,0.7114285714285714,0.7172244897959184,0.7115756600817013
2-Tune.csv,0.5742857142857143,0.5768163265306122,0.5746977941971797
9-Tune.csv,0.6114285714285714,0.6123265306122448,0.6112925136329391
8-Tune.csv,0.58,0.5815510204081633,0.5802836304964725
11-Tune.csv,0.3628571428571429,0.3639591836734694,0.3607423510329615
10-Tune.csv,0.3314285714285714,0.33069387755102037,0.32946989233537627
14-Tune.csv,0.6142857142857143,0.6231020408163265,0.6161537737624695
7-Tune.csv,0.6342857142857142,0.6386530612244898,0.6349811015224361
6-Tune.csv,0.6428571428571429,0.6486122448979592,0.6449310814093405
12-Tune.csv,0.5171428571428571,0.5261632653061225,0.5198538089879562
13-Tune.csv,0.5514285714285714,0.5551020408163265,0.5525389109274322
0-Tune.csv,0.6742857142857143,0.6782040816326531,0.6741762701428676
1-Tune.csv,0.5685714285714286,0.5668979591836735,0.5671500616356343
